temperature,temp_mean,temp_max,temp_min,temp_std,temp_rise_rate,temp_peak_gradient,temp_trend,vib_magnitude,vib_rms,vib_peak,vib_std,vib_kurtosis,vib_crest_factor,fft_peak_freq,fft_peak_amp,fft_energy,fft_band_energy_100_1500Hz,vce,vce_mean,vce_max,vce_min,vce_std,max_dv_dt,vce_overshoot,Ic,ic_mean,ic_rms,ic_peak,ic_std,max_di_dt,p_inst,p_mean,p_peak,p_std,timestamp,HealthState,FaultType
21.2067715,26.67199261,34.982796,18.00311736,5.014277596,-1.165287454,2673.187745,-0.002570612,-0.189926985,0.559168105,1.615087047,0.559168115,2.865741557,2.888374716,140,27.90976081,156.7651157,24479.31927,9.407179184,7.122295949,14.96507384,0.049681544,4.336847241,3538.374758,7.842777887,2.142881864,1.40679826,1.63703814,2.994414524,0.837145464,239.712578,20.15847366,9.859500544,40.55864036,8.975728887,1771773065,Healthy,Bond_wire_fatigue
28.96354557,26.50632148,34.972564,18.00465661,4.841565657,0.895333375,3229.481924,0.000250506,0.864391387,0.542321575,1.527075537,0.542321585,2.727483596,2.815811832,23,27.41646296,147.0998217,21265.35974,9.34955876,7.444905153,14.88430179,0.036689537,4.402865599,3628.491538,7.439396634,0.434322331,1.496844002,1.723860718,2.99078662,0.855075323,261.083661,4.060722155,10.75277932,41.28439961,9.326731131,1771773065,Healthy,Bond_wire_fatigue
23.35787457,26.288244,34.99265666,18.00257233,4.841130144,3.862960113,2493.057439,0.001414808,0.132756503,0.564897293,1.544892809,0.564897303,2.743706917,2.734820647,248,28.12656839,159.1109911,23718.83594,3.15409621,7.418725405,14.98821377,0.028644355,4.39377963,3486.444209,7.569488362,0.073188228,1.525404326,1.759943176,2.99952657,0.877805004,277.9728823,0.230842712,11.05334675,41.93857462,9.545279716,1771773065,Healthy,Bond_wire_fatigue
26.61326952,26.79896012,34.95573356,18.00695845,4.767347676,-2.22048079,3458.660956,0.000258523,0.361691384,0.555817664,1.725748802,0.555817674,2.78765592,3.104882921,118,25.61931314,154.1654105,24015.49333,2.425190663,7.663513102,14.93986345,0.023167876,4.342912405,4534.793345,7.276350351,2.952976411,1.599097926,1.818384188,2.989149169,0.865682897,263.9225845,7.161530819,12.0838697,41.98364925,10.04646093,1771773065,Healthy,Bond_wire_fatigue
19.23229444,26.49219346,34.99566288,18.02979458,4.983815604,-7.269260112,2093.065483,-0.000875502,-0.097921984,0.582180588,1.66604512,0.582180598,2.716426915,2.861732471,246,30.75706504,169.763842,24101.47994,9.265107677,7.200704607,14.985505,0.112013434,4.433378767,4767.386131,7.784800397,2.375324751,1.512605384,1.734290113,2.983195639,0.848402705,269.9196039,22.00763958,10.83883886,40.94669906,9.598027409,1771773065,Healthy,Bond_wire_fatigue
18.77226819,26.71044109,34.83372626,18.02146108,4.952191187,-1.17296671,3263.776404,-0.003690662,-0.178267723,0.541999517,1.659533254,0.541999527,2.829981466,3.061872143,2,29.35050583,146.3067654,20887.77571,1.993082592,7.218534195,14.89986713,0.008404168,4.392546603,5376.084377,7.681332934,2.969078856,1.537015655,1.758580425,2.996437389,0.854510379,227.9064822,5.917619383,10.88402555,43.70697679,9.672605015,1771773065,Healthy,Bond_wire_fatigue
21.94307076,26.42093011,34.94744007,18.01442315,4.987278754,-0.100858769,3266.196073,0.000572033,0.44332702,0.535141856,1.62184615,0.535141866,2.93457957,3.030684481,27,30.50050606,143.384327,19653.48843,9.634613932,7.62165522,14.97539154,0.062559138,4.270956766,3460.605042,7.353736319,1.137494643,1.54652366,1.75839943,2.994195382,0.836799334,267.7043211,10.95932174,11.50616784,41.3969965,9.490330545,1771773065,Healthy,Bond_wire_fatigue
34.62774893,26.59978182,34.97411971,18.00104829,4.857169295,-0.869710152,3439.708858,-0.002089476,0.425550085,0.559905177,1.670800881,0.559905187,2.825933702,2.984078232,37,35.18974698,156.1769352,23973.21396,9.83653354,7.625001015,14.98845962,0.004973981,4.292049209,3651.853774,7.3634586,2.753570856,1.538976562,1.781248037,2.997691641,0.896881102,249.6132178,27.08559208,11.76741501,43.22419501,10.4722858,1771773065,Healthy,Bond_wire_fatigue
30.03960842,26.4473924,34.92939936,18.00501852,4.805442573,-1.739273309,2809.331341,-0.001290902,-0.886705616,0.549927344,1.621087883,0.549927354,2.938111884,2.947821877,128,31.83654177,150.7371374,22974.57626,14.43780061,7.644110787,14.97498557,0.033082539,4.146070261,3552.111255,7.33087478,0.645644667,1.515428546,1.742026884,2.997849169,0.859147244,278.2176115,9.321688958,11.66161649,41.35778446,9.87739558,1771773065,Healthy,Bond_wire_fatigue
22.33983449,26.8609457,34.95772315,18.04140326,4.823285288,0.203608138,3147.674095,0.002084139,0.866815363,0.564296607,1.737003782,0.564296617,2.792271518,3.078175079,46,29.19076185,158.621137,25197.49713,10.76172236,7.632643098,14.99760477,0.00724305,4.283881508,3642.465517,7.36496167,0.146507104,1.492757648,1.732106825,2.999817718,0.87856056,251.0731165,1.576668778,11.37897131,44.18187704,10.23422085,1771773065,Healthy,Bond_wire_fatigue
23.52638732,26.58052843,34.8282868,18.05971776,4.838808704,0.329022401,2453.765537,-0.000723507,0.249801813,0.508158416,1.665603381,0.508158426,3.147117134,3.277724615,32,28.80046102,128.7089147,18694.01405,0.866561647,7.51860378,14.99674659,0.019991786,4.440949526,6835.936132,7.478142808,0.743098954,1.503108646,1.732538299,2.997804112,0.861599302,232.5570092,0.643941053,11.0109682,43.77252296,9.863883132,1771773065,Healthy,Bond_wire_fatigue
25.75939513,26.67555902,34.99920444,18.00350979,5.130688484,0.666656851,2995.025468,0.001587641,0.975517784,0.550446519,1.624622073,0.550446529,2.755304224,2.951462108,153,34.9060089,151.0802777,21793.59474,6.684545658,7.457134491,14.94380125,0.002571406,4.34145722,3595.346928,7.486666755,1.013402689,1.524676249,1.742420698,2.986667109,0.843440707,275.8585021,6.774136544,11.59727907,44.30546163,10.22867516,1771773065,Healthy,Bond_wire_fatigue
32.1108455,26.58778525,34.97906027,18.02418574,4.779039188,2.267014378,3351.576435,-0.003208198,0.267510427,0.546237728,1.716020913,0.546237738,2.877110231,3.141527566,36,31.85202399,148.6063698,23377.65768,14.62685261,7.461043426,14.94905005,0.003747877,4.387906045,3502.367382,7.488006624,0.52906999,1.458330039,1.700322301,2.990483684,0.874282234,248.3704377,7.738628757,10.99570738,42.5372386,10.07837373,1771773065,Healthy,Bond_wire_fatigue
34.67248225,26.48953844,34.9468861,18.03821626,4.906232887,4.468886359,3319.502506,-0.000337146,0.026871673,0.536968827,1.57289228,0.536968837,2.866064495,2.92920589,107,25.87863782,143.7636592,19910.37766,5.00121436,7.649976879,14.95078508,0.035487265,4.159326415,6188.297155,7.300808206,0.261043466,1.43277686,1.662511531,2.982302266,0.843264526,281.9596859,1.30553433,10.93058926,41.84437077,9.54022999,1771773065,Healthy,Bond_wire_fatigue
28.6002461,26.37638814,34.91647565,18.03976823,5.008043657,0.221511734,3279.101886,0.001017456,-0.626986595,0.56076464,1.571703042,0.56076465,2.80011557,2.802785524,119,32.22411904,156.7074927,24384.74961,9.75753996,7.436304268,14.9817629,0.012999683,4.287260909,5431.524698,7.545458628,2.884942368,1.471203322,1.714951945,2.999654198,0.881261004,260.8939801,28.14994043,10.84094317,43.04081257,9.834926099,1771773065,Healthy,Bond_wire_fatigue
32.33547048,26.64206348,34.99995538,18.01314057,4.915306555,-4.749611769,3410.758359,-0.001267892,-0.859129876,0.571690672,1.731108516,0.571690682,2.908631258,3.028050955,219,32.06370475,162.7850429,25908.44831,11.35293353,7.254849467,14.99773151,0.023812826,4.382646536,4297.76002,7.742882044,0.7231404,1.490696817,1.72727188,2.997736078,0.872519997,255.9783913,8.209764894,11.05719876,44.03565853,9.989379286,1771773065,Healthy,Bond_wire_fatigue
32.19647203,26.5084743,34.99028205,18.00666972,5.046702255,4.043526428,3444.004058,0.00069639,0.510991576,0.567938761,1.675466323,0.567938771,2.821455439,2.950082662,185,30.38367324,161.7447448,24174.90379,3.096072037,7.568912158,14.97340903,0.026639569,4.298159494,4039.546792,7.404496875,1.698293061,1.468023062,1.70098156,2.997172671,0.859212754,273.090916,5.258037658,10.93958705,43.00606076,9.576294156,1771773065,Healthy,Bond_wire_fatigue
20.66688166,26.57390834,34.99002519,18.02749238,4.871133575,-6.23969188,2514.98583,0.000485928,-0.082713948,0.562903605,1.680103401,0.562903615,2.791880327,2.984708852,106,26.03477538,157.8757024,25245.38759,8.99472579,7.182591772,14.98468579,0.001985267,4.334518453,3761.614251,7.802094015,0.913706186,1.481489236,1.725365883,2.995431261,0.884351216,286.9286437,8.218536592,10.40274825,43.00822175,9.582463488,1771773065,Healthy,Bond_wire_fatigue
31.8296722,26.49821383,34.97631718,18.00637575,4.945853488,4.657883771,2981.802909,0.000382698,-0.715815833,0.567304968,1.724244649,0.567304978,2.790749214,3.039361041,80,29.52075653,160.3127948,22492.15196,5.532210226,7.598408839,14.99150949,0.021261068,4.452843565,4457.038161,7.393100656,1.098328198,1.508846569,1.726569623,2.995748546,0.839300122,268.2142949,6.07618249,11.50513957,41.52902546,9.960851004,1771773065,Healthy,Bond_wire_fatigue
